"SUID","BRENDA ID","CAZY Name","Class","Description","EC","Family","Gene Name","Genus","GO Term","HMP Body Site","HMP Oxygen","InterPro (Domain)","InterPro (Family)","InterPro (Homologous Superfamily)","InterPro (Other)","KEGG ID","Kingdom","name","NCBI IDs","Order","Organism","P01 gDNA","PATRIC ID","PDB","PFAM","Phylum","selected","Sequence Length","Sequence Source","shared name","Species","STRING ID","Superkingdom","Swissprot Description","Taxonomy ID","UniProt Annotation Status"
"2351393","None","None","Gammaproteobacteria","Glucuronyl hydrolase ","None","Pectobacteriaceae","BSK71_16395","Pectobacterium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1V2R0T1","GI:734563721|GI:1141039176|GI:1141040155|GI:746316398|EMBL-CDS:ONK03087.1|REFSEQ:WP_039363081.1","Enterobacterales","Pectobacterium carotovorum subsp. actinidiae.","False","None","None","PF07470","Proteobacteria","false","391","BLASTHIT","A0A1V2R0T1","Pectobacterium carotovorum subsp. actinidiae","None","Bacteria","NA","1507808","TrEMBL"
"2351394","None","None","Alphaproteobacteria","Glucoronyl hydrolase ","None","Rhizobiaceae","CO663_27330","Rhizobium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A2A6GHA6","EMBL-CDS:PDS56063.1","Rhizobiales","Rhizobium anhuiense.","False","None","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A2A6GHA6","Rhizobium anhuiense","None","Bacteria","NA","1184720","TrEMBL"
"2351395","None","None","Gammaproteobacteria","Glucuronyl hydrolase ","None","Enterobacteriaceae","CK477_04310","Enterobacter","0016787 hydrolase activity","Airways|Skin|Not Specified","Not Specified,Facultative","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A2J7LX02","EMBL-CDS:PNC14973.1","Enterobacterales","Enterobacter cloacae.","False","None","None","PF07470","Proteobacteria","false","395","BLASTHIT","A0A2J7LX02","Enterobacter cloacae","None","Bacteria","NA","550","TrEMBL"
"2351396","None","None","Gammaproteobacteria","Glucuronyl hydrolase ","None","Enterobacteriaceae","CWR41_12295","Cedecea","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A2N0CRQ4","EMBL-CDS:PKA30635.1","Enterobacterales","Cedecea lapagei.","False","None","None","PF07470","Proteobacteria","false","395","BLASTHIT","A0A2N0CRQ4","Cedecea lapagei","None","Bacteria","NA","158823","TrEMBL"
"2351397","None","None","Clostridia","Glucoronyl hydrolase ","None","Lachnospiraceae","DXC97_23680","NA","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A3A6HFL0","GI:1061067118|EMBL-CDS:RJW35284.1|REFSEQ:WP_069157136.1","Clostridiales","Lachnospiraceae bacterium TF09-5.","False","None","None","PF07470","Firmicutes","false","392","BLASTHIT","A0A3A6HFL0","Lachnospiraceae bacterium TF09-5","None","Bacteria","NA","2302969","TrEMBL"
"2351398","None","None","Alphaproteobacteria","Glucoronyl hydrolase ","None","Rhizobiaceae","YH62_07410","Rhizobium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A0M3BMZ4","GI:820732969|GI:820887340|EMBL-CDS:KKX33326.1|REFSEQ:WP_046793509.1","Rhizobiales","Rhizobium sp. LC145.","False","fig|1120688.3.peg.2605","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A0M3BMZ4","Rhizobium sp. LC145","None","Bacteria","NA","1120688","TrEMBL"
"2351399","None","None","Alphaproteobacteria","Glucuronyl hydrolase ","None","Caulobacteraceae","ASD79_10265","Caulobacter","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A0Q8FSM9","GI:946007068|GI:948064189|EMBL-CDS:KRA59993.1","Caulobacterales","Caulobacter sp. Root655.","False","None","None","PF07470","Proteobacteria","false","386","BLASTHIT","A0A0Q8FSM9","Caulobacter sp. Root655","None","Bacteria","NA","1736578","TrEMBL"
"2351400","None","None","Clostridia","Glucoronyl hydrolase ","3.2.1.180 {ECO:0000313|EMBL:ODM07354.1}","Lachnospiraceae","BEI59_03410","Eisenbergiella","0102212 unsaturated chondroitin disaccharide hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1E3AF51","GI:769202685|GI:1063372400|GI:1060762280|GI:1063387375|GI:1063381664|EMBL-CDS:ODM07354.1|EMBL-CDS:ODR54984.1|REFSEQ:WP_044968404.1","Clostridiales","Eisenbergiella tayi.","False","fig|1432052.4.peg.3614","None","PF07470","Firmicutes","false","392","BLASTHIT","A0A1E3AF51","Eisenbergiella tayi","None","Bacteria","NA","1432052","TrEMBL"
"2351401","None","None","Clostridia","Unsaturated chondroitin disaccharide hydrolase ","None","Lachnospiraceae","SAMN05216405_2622","NA","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1I2Z620","GI:769202685|EMBL-CDS:SFH32946.1|REFSEQ:WP_044968404.1","Clostridiales","Lachnospiraceae bacterium NLAE-zl-G231.","False","None","None","PF07470","Firmicutes","false","392","BLASTHIT","A0A1I2Z620","Lachnospiraceae bacterium NLAE-zl-G231","None","Bacteria","NA","1855376","TrEMBL"
"2351402","None","None","Alphaproteobacteria","Glucoronyl hydrolase ","None","Rhizobiaceae","BSO17_06640","Rhizobium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1Q8HLC8","GI:636783423|GI:1126729867|EMBL-CDS:OLG28615.1|REFSEQ:WP_024319641.1","Rhizobiales","Rhizobium leguminosarum bv. viciae.","False","None","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A1Q8HLC8","Rhizobium leguminosarum bv. viciae","None","Bacteria","NA","387","TrEMBL"
"2351403","None","None","Alphaproteobacteria","Glucoronyl hydrolase ","None","Rhizobiaceae","BS630_07295","Rhizobium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1S9GZR4","GI:1150531357|EMBL-CDS:OOO51132.1","Rhizobiales","Rhizobium laguerreae.","False","None","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A1S9GZR4","Rhizobium laguerreae","None","Bacteria","NA","1076926","TrEMBL"
"2351404","None","None","Clostridia","Glucoronyl hydrolase ","None","Ruminococcaceae","B5F28_08590","Gemmiger","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1Y4IXC3","GI:1198641314|EMBL-CDS:OUP24106.1","Clostridiales","Gemmiger sp. An194.","False","None","None","PF07470","Firmicutes","false","386","BLASTHIT","A0A1Y4IXC3","Gemmiger sp. An194","None","Bacteria","NA","1965582","TrEMBL"
"2351405","None","None","Gammaproteobacteria","Glucuronyl hydrolase ","None","Yersiniaceae","CBW58_11250","Yersinia","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A209AGF9","GI:1204479735|EMBL-CDS:OVZ91814.1","Enterobacterales","Yersinia frederiksenii.","False","None","None","PF07470","Proteobacteria","false","396","BLASTHIT","A0A209AGF9","Yersinia frederiksenii","None","Bacteria","NA","29484","TrEMBL"
"2351406","None","None","Alphaproteobacteria","Glucoronyl hydrolase ","None","Rhizobiaceae","CHY08_26110","Rhizobium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A222U6B1","GI:1227331163|EMBL-CDS:ASR10515.1","Rhizobiales","Rhizobium leguminosarum bv. viciae.","False","None","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A222U6B1","Rhizobium leguminosarum bv. viciae","None","Bacteria","NA","387","TrEMBL"
"2351407","None","None","Alphaproteobacteria","Glucoronyl hydrolase ","None","Rhizobiaceae","ATY77_01400","Rhizobium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A246SXE2","GI:1212847006|EMBL-CDS:OWV81932.1","Rhizobiales","Rhizobium sp. R634.","False","None","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A246SXE2","Rhizobium sp. R634","None","Bacteria","NA","1764274","TrEMBL"
"2351408","None","None","Alphaproteobacteria","Glucoronyl hydrolase ","None","Rhizobiaceae","CO666_18455","Rhizobium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A2A6J9T2","EMBL-CDS:PDT02855.1","Rhizobiales","Rhizobium sp. C5.","False","None","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A2A6J9T2","Rhizobium sp. C5","None","Bacteria","NA","2035448","TrEMBL"
"2351409","None","None","Alphaproteobacteria","Unsaturated chondroitin disaccharide hydrolase ","3.2.1.180 {ECO:0000313|EMBL:AUW46381.1}","Rhizobiaceae","CUJ84_pRLN1000927","Rhizobium","0102212 unsaturated chondroitin disaccharide hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A2K9ZEA8","GI:1337406791|EMBL-CDS:AUW46381.1","Rhizobiales","Rhizobium leguminosarum.","False","None","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A2K9ZEA8","Rhizobium leguminosarum","None","Bacteria","NA","384","TrEMBL"
"2351410","None","None","Gammaproteobacteria","Glucuronyl hydrolase ","None","Enterobacteriaceae","DL189_07110","Enterobacter","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A2V3E6S3","GI:970307178|EMBL-CDS:PXB42064.1|REFSEQ:WP_058677017.1","Enterobacterales","Enterobacter kobei.","False","None","None","PF07470","Proteobacteria","false","395","BLASTHIT","A0A2V3E6S3","Enterobacter kobei","None","Bacteria","NA","208224","TrEMBL"
"2351411","None","None","Gammaproteobacteria","Unsaturated glucuronyl hydrolase ","3.2.1.179 {ECO:0000313|EMBL:SUQ04574.1}","Enterobacteriaceae","NCTC11966_01654","Yokenella","0016798 hydrolase activity  acting on glycosyl bonds","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A2X2QW95","GI:740423536|EMBL-CDS:SUQ04574.1|REFSEQ:WP_038256223.1","Enterobacterales","Yokenella regensburgei.","False","None","None","PF07470","Proteobacteria","false","396","BLASTHIT","A0A2X2QW95","Yokenella regensburgei","None","Bacteria","NA","158877","TrEMBL"
"2351412","None","None","Gammaproteobacteria","Glucuronyl hydrolase ","None","Enterobacteriaceae","DP185_08190","Enterobacter","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A330DJ84","EMBL-CDS:RAY71191.1","Enterobacterales","Enterobacter hormaechei.","False","None","None","PF07470","Proteobacteria","false","395","BLASTHIT","A0A330DJ84","Enterobacter hormaechei","None","Bacteria","NA","158836","TrEMBL"
"2351413","None","None","Gammaproteobacteria","Glucuronyl hydrolase ","None","Enterobacteriaceae","DVA44_03535","NA","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A345C670","GI:1433386736|EMBL-CDS:AXF63275.1","Enterobacterales","Enterobacteriaceae bacterium w17.","False","None","None","PF07470","Proteobacteria","false","395","BLASTHIT","A0A345C670","Enterobacteriaceae bacterium w17","None","Bacteria","NA","2282309","TrEMBL"
"2351414","None","None","Gammaproteobacteria","Unsaturated chondroitin disaccharide hydrolase ","None","Enterobacteriaceae","EC842_1459","Lelliottia","None","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A3N1W701","EMBL-CDS:ROR10565.1","Enterobacterales","Lelliottia amnigena ","False","None","None","PF07470","Proteobacteria","false","395","BLASTHIT","A0A3N1W701","Lelliottia amnigena","None","Bacteria","NA","61646","TrEMBL"
"2351415","None","GH88","Clostridia","Uncharacterized protein ","None","Lachnospiraceae","CLOBOL_05200","Lachnoclostridium","0003824 catalytic activity","Gastrointestinal tract","Anaerobe","None","IPR010905","IPR008928|IPR012341","None","None","NA","A8RYR0","GI:158436891|EMBL-CDS:EDP14658.1","Clostridiales","Clostridium bolteae  (strain ATCC BAA-613 / WAL 16351)","True","None","None","PF07470","Firmicutes","false","421","BLASTHIT","A8RYR0","[Clostridium] bolteae ATCC BAA-613","411902.CLOBOL_05200","Bacteria","NA","411902","TrEMBL"
"2351416","None","None","Alphaproteobacteria","Glucuronyl hydrolase ","None","Rhizobiaceae","IE4771_PD00328","Rhizobium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","rei:IE4771_PD00328","NA","A0A060I7B6","GI:749317825|GI:647796136|EMBL-CDS:AIC30883.1|REFSEQ:WP_040141882.1","Rhizobiales","Rhizobium sp. IE4771.","False","None","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A060I7B6","Rhizobium sp. IE4771","None","Bacteria","NA","1301032","TrEMBL"
"2351417","None","None","Alphaproteobacteria","Unsaturated glucuronyl hydrolase ","None","Rhizobiaceae","RG1141_PA13860","Neorhizobium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","ngl:RG1141_PA13860","NA","A0A068TIM0","GI:749301309|GI:659665176|EMBL-CDS:CDN58218.1|REFSEQ:WP_040125533.1","Rhizobiales","Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141.","False","fig|1028801.3.peg.6012","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A068TIM0","Neorhizobium galegae bv. officinalis bv. officinal","None","Bacteria","NA","1028801","TrEMBL"
"2351418","None","None","Alphaproteobacteria","Glucoronyl hydrolase ","None","Aurantimonadaceae","TM49_06955","Martelella","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","mey:TM49_06955","NA","A0A0D5LMY6","GI:783165717|GI:779728399|EMBL-CDS:AJY45491.1|REFSEQ:WP_045680160.1","Rhizobiales","Martelella endophytica.","False","fig|1486262.3.peg.1432","None","PF07470","Proteobacteria","false","391","BLASTHIT","A0A0D5LMY6","Martelella endophytica","None","Bacteria","NA","1486262","TrEMBL"
"2351419","None","None","Gammaproteobacteria","Glucuronyl hydrolase ","None","Enterobacteriaceae","LI62_21180","Enterobacter","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","ecly:LI62_21180","NA","A0A0E1JI19","GI:967051519|GI:967170898|GI:794242783|GI:794304564|GI:771001789|GI:802158270|GI:770986193|GI:829277434|GI:742983517|GI:1227158767|GI:974893154|GI:794295478|GI:794299005|GI:967226438|GI:505384777|GI:1021987290|GI:770997040|GI:829454256|GI:829271372|GI:794309576|GI:1021900209|GI:794228113|GI:794286809|GI:771295122|GI:794224130|GI:974907099|EMBL-CDS:AJB64432.1|REFSEQ:WP_015571879.1","Enterobacterales","Enterobacter hormaechei subsp. steigerwaltii.","False","fig|550.316.peg.243","None","PF07470","Proteobacteria","false","395","BLASTHIT","A0A0E1JI19","Enterobacter hormaechei subsp. steigerwaltii","None","Bacteria","NA","299766","TrEMBL"
"2351420","None","None","Gammaproteobacteria","Unsaturated glucuronyl hydrolase ","3.2.1.179 {ECO:0000313|EMBL:CNL73502.1}","Yersiniaceae","ERS008521_03598","Yersinia","0016798 hydrolase activity  acting on glycosyl bonds","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A0T9UVW6","GI:911137196|GI:1206433025|EMBL-CDS:CNL73502.1|REFSEQ:WP_050151497.1","Enterobacterales","Yersinia frederiksenii.","False","None","None","PF07470","Proteobacteria","false","396","BLASTHIT","A0A0T9UVW6","Yersinia frederiksenii","None","Bacteria","NA","29484","TrEMBL"
"2351421","None","None","Gammaproteobacteria","Glucuronyl hydrolase ","3.2.1.179 {ECO:0000313|EMBL:SAG47133.1}","Enterobacteriaceae","B9Q36_14975","Enterobacter","0016798 hydrolase activity  acting on glycosyl bonds","Airways|Skin|Not Specified","Not Specified,Facultative","None","IPR010905","IPR008928|IPR012341","None","ecli:ECNIH5_18500","NA","A0A155X9E6","GI:723227981|GI:556348902|EMBL-CDS:PJD34266.1|EMBL-CDS:SAG47133.1|REFSEQ:WP_023298612.1","Enterobacterales","Enterobacter cloacae.","False","None","None","PF07470","Proteobacteria","false","395","BLASTHIT","A0A155X9E6","Enterobacter cloacae","None","Bacteria","NA","550","TrEMBL"
"2351422","None","None","Gammaproteobacteria","Unsaturated glucuronyl hydrolase ","3.2.1.179 {ECO:0000313|EMBL:SAP79258.1}","Enterobacteriaceae","SAMEA2273864_03846","Klebsiella","0016798 hydrolase activity  acting on glycosyl bonds","Airways|Skin","Not Specified","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A163X0Z9","GI:505384777|EMBL-CDS:SAP79258.1|REFSEQ:WP_015571879.1","Enterobacterales","Klebsiella oxytoca.","False","None","None","PF07470","Proteobacteria","false","395","BLASTHIT","A0A163X0Z9","Klebsiella oxytoca","None","Bacteria","NA","571","TrEMBL"
"2351423","None","None","Alphaproteobacteria","Glucoronyl hydrolase ","None","Rhizobiaceae","BMW22_30910","Rhizobium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1L3ZJN6","GI:1119724116|GI:1111595039|EMBL-CDS:API55852.1|REFSEQ:WP_072641468.1","Rhizobiales","Rhizobium leguminosarum.","False","None","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A1L3ZJN6","Rhizobium leguminosarum","None","Bacteria","NA","384","TrEMBL"
"2351424","None","None","Alphaproteobacteria","Glucoronyl hydrolase ","None","Rhizobiaceae","BBJ66_26235","Rhizobium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1S1PS07","GI:1092312122|GI:1094096987|EMBL-CDS:OHV24031.1|REFSEQ:WP_071087242.1","Rhizobiales","Rhizobium sp. RSm-3.","False","None","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A1S1PS07","Rhizobium sp. RSm-3","None","Bacteria","NA","1720346","TrEMBL"
"2351425","None","None","Alphaproteobacteria","Unsaturated glucuronyl hydrolase ","3.2.1.179 {ECO:0000313|EMBL:ARM16506.1}","Rhizobiaceae","Bra5_PD00967","Rhizobium","0016798 hydrolase activity  acting on glycosyl bonds","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1W6GUE8","GI:1187196044|EMBL-CDS:ARM16506.1","Rhizobiales","Rhizobium phaseoli Brasil 5.","False","None","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A1W6GUE8","Rhizobium phaseoli Brasil 5","None","Bacteria","NA","526949","TrEMBL"
"2351426","None","None","Alphaproteobacteria","Glucoronyl hydrolase ","None","Rhizobiaceae","B5E41_15445","Rhizobium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A246DUQ3","GI:1209022024|EMBL-CDS:OWO94071.1","Rhizobiales","Rhizobium esperanzae.","False","None","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A246DUQ3","Rhizobium esperanzae","None","Bacteria","NA","1967781","TrEMBL"
"2351427","None","None","Alphaproteobacteria","Glucoronyl hydrolase ","None","Rhizobiaceae","CO667_12770","Rhizobium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A2A6HSM8","EMBL-CDS:PDS78554.1","Rhizobiales","Rhizobium sp. L43.","False","None","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A2A6HSM8","Rhizobium sp. L43","None","Bacteria","NA","2035452","TrEMBL"
"2351428","None","None","Alphaproteobacteria","Glucoronyl hydrolase ","None","Rhizobiaceae","CO674_14730","Rhizobium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A2A6KEC8","EMBL-CDS:PDT22752.1","Rhizobiales","Rhizobium hidalgonense.","False","None","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A2A6KEC8","Rhizobium hidalgonense","None","Bacteria","NA","1538159","TrEMBL"
"2351429","None","None","Gammaproteobacteria","Glucuronyl hydrolase ","None","Enterobacteriaceae","CWI88_03290","Enterobacter","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","ecan:CWI88_03290","NA","A0A2I6E1B2","GI:1318835180|EMBL-CDS:AUJ80127.1","Enterobacterales","Enterobacter cancerogenus.","False","None","None","PF07470","Proteobacteria","false","395","BLASTHIT","A0A2I6E1B2","Enterobacter cancerogenus","None","Bacteria","NA","69218","TrEMBL"
"2351430","None","None","Gammaproteobacteria","Glucuronyl hydrolase ","None","Enterobacteriaceae","DAI21_08200","Lelliottia","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","lew:DAI21_08200","NA","A0A2S0PK41","GI:1377514750|EMBL-CDS:AVY97647.1","Enterobacterales","Lelliottia sp. WB101.","False","None","None","PF07470","Proteobacteria","false","395","BLASTHIT","A0A2S0PK41","Lelliottia sp. WB101","None","Bacteria","NA","2153385","TrEMBL"
"2351431","None","None","Gammaproteobacteria","Glucuronyl hydrolase ","None","Enterobacteriaceae","C3386_09815","Enterobacter","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A2S4SCP3","GI:556348902|EMBL-CDS:POV29518.1|REFSEQ:WP_023298612.1","Enterobacterales","Enterobacter cloacae complex sp. ECNIH12.","False","None","None","PF07470","Proteobacteria","false","395","BLASTHIT","A0A2S4SCP3","Enterobacter cloacae complex sp. ECNIH12","None","Bacteria","NA","2080660","TrEMBL"
"2351432","None","None","Gammaproteobacteria","Glycosyl hydrolase ","3.2.1.179 {ECO:0000313|EMBL:STB28617.1}","Enterobacteriaceae","NCTC10770_00671","Citrobacter","0016798 hydrolase activity  acting on glycosyl bonds","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A336PQ49","GI:1098648338|GI:1095477742|EMBL-CDS:STB28617.1|REFSEQ:WP_071257845.1","Enterobacterales","Citrobacter koseri ","False","None","None","PF07470","Proteobacteria","false","396","BLASTHIT","A0A336PQ49","Citrobacter koseri","None","Bacteria","NA","545","TrEMBL"
"2351433","None","None","Clostridia","Glucoronyl hydrolase ","None","Lachnospiraceae","DXB25_21325","NA","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A3A6IB28","EMBL-CDS:RJW44812.1","Clostridiales","Lachnospiraceae bacterium OM02-31.","False","None","None","PF07470","Firmicutes","false","392","BLASTHIT","A0A3A6IB28","Lachnospiraceae bacterium OM02-31","None","Bacteria","NA","2302968","TrEMBL"
"2351434","None","None","Clostridia","Glucoronyl hydrolase ","None","Lachnospiraceae","DXB24_23170","NA","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A3A6IZS6","EMBL-CDS:RJW54974.1","Clostridiales","Lachnospiraceae bacterium OM02-3.","False","None","None","PF07470","Firmicutes","false","392","BLASTHIT","A0A3A6IZS6","Lachnospiraceae bacterium OM02-3","None","Bacteria","NA","2302967","TrEMBL"
"2351435","None","None","Clostridia","Glucoronyl hydrolase ","None","Lachnospiraceae","DEQ64_15630","Lachnoclostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A3D1FQH6","EMBL-CDS:HCD45129.1","Clostridiales","Lachnoclostridium sp.","False","None","None","PF07470","Firmicutes","false","391","BLASTHIT","A0A3D1FQH6","Lachnoclostridium sp.","None","Bacteria","NA","2028282","TrEMBL"
"2351436","None","None","Gammaproteobacteria","Glucuronyl hydrolase ","None","Enterobacteriaceae","EEI76_19240","Enterobacter","None","Airways|Skin|Not Specified","Not Specified,Facultative","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A3G4TCH5","GI:1511324769|EMBL-CDS:AYU97081.1","Enterobacterales","Enterobacter cloacae.","False","None","None","PF07470","Proteobacteria","false","395","BLASTHIT","A0A3G4TCH5","Enterobacter cloacae","None","Bacteria","NA","550","TrEMBL"
"2351437","None","None","Gammaproteobacteria","Glucuronyl hydrolase ","None","Enterobacteriaceae","EB837_17715","Kluyvera","None","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A3N2RWK3","EMBL-CDS:ROU11819.1","Enterobacterales","Kluyvera ascorbata.","False","None","None","PF07470","Proteobacteria","false","396","BLASTHIT","A0A3N2RWK3","Kluyvera ascorbata","None","Bacteria","NA","51288","TrEMBL"
"2351438","None","None","Gammaproteobacteria","Glycosyl hydrolase| family 88 ","3.2.1.- {ECO:0000313|EMBL:EFC54036.1}","Enterobacteriaceae","ENTCAN_09018","Enterobacter","0016798 hydrolase activity  acting on glycosyl bonds","Gastrointestinal tract","Facultative","None","IPR010905","IPR008928|IPR012341","None","None","NA","D2ZKF5","GI:288315098|GI:493180022|EMBL-CDS:EFC54036.1|REFSEQ:WP_006178555.1","Enterobacterales","Enterobacter cancerogenus ATCC 35316.","False","None","None","PF07470","Proteobacteria","false","395","BLASTHIT","D2ZKF5","Enterobacter cancerogenus ATCC 35316","500639.ENTCAN_09018","Bacteria","NA","500639","TrEMBL"
"2351439","None","None","Clostridia","Uncharacterized protein ","None","Lachnospiraceae","HMPREF0994_03460","NA","0003824 catalytic activity","Gastrointestinal tract","Not Specified","None","IPR010905","IPR008928|IPR012341","None","None","NA","F7KC81","GI:496547286|GI:336009541|EMBL-CDS:EGN39533.1|REFSEQ:WP_009253361.1","Clostridiales","Lachnospiraceae bacterium 3_1_57FAA_CT1.","False","fig|658086.3.peg.3781","None","PF07470","Firmicutes","false","392","BLASTHIT","F7KC81","Lachnospiraceae bacterium 3_1_57FAA_CT1","658086.HMPREF0994_03460","Bacteria","NA","658086","TrEMBL"
"2351440","None","None","Gammaproteobacteria","Putative unsaturated glucuronyl hydrolase ","None","Enterobacteriaceae","HMPREF0880_04562","Yokenella","0016787 hydrolase activity","Gastrointestinal tract","Not Specified","None","IPR010905","IPR008928|IPR012341","None","None","NA","G9ZAK1","GI:493874573|GI:364567203|EMBL-CDS:EHM44875.1|REFSEQ:WP_006821008.1","Enterobacterales","Yokenella regensburgei ATCC 43003.","False","fig|1002368.3.peg.4168","None","PF07470","Proteobacteria","false","396","BLASTHIT","G9ZAK1","Yokenella regensburgei ATCC 43003","None","Bacteria","NA","1002368","TrEMBL"
"2351441","None","None","Alphaproteobacteria","Glucoronyl hydrolase ","None","Rhizobiaceae","A4A59_21885","Rhizobium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A154IFP9","GI:1016100685|GI:1015797930|EMBL-CDS:KZA99423.1|REFSEQ:WP_062942867.1","Rhizobiales","Rhizobium leguminosarum.","False","None","None","PF07470","Proteobacteria","false","390","BLASTHIT","A0A154IFP9","Rhizobium leguminosarum","None","Bacteria","NA","384","TrEMBL"
"2351442","None","None","Gammaproteobacteria","Glycosyl hydrolase family protein ","3.2.1.179 {ECO:0000313|EMBL:SAB34566.1}","Enterobacteriaceae","SAMEA2273401_04529","Klebsiella","0016798 hydrolase activity  acting on glycosyl bonds","Airways","Not Specified","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A155HIZ6","GI:782731706|EMBL-CDS:SAB34566.1|REFSEQ:WP_045622724.1","Enterobacterales","Klebsiella aerogenes ","False","None","None","PF07470","Proteobacteria","false","395","BLASTHIT","A0A155HIZ6","Klebsiella aerogenes","None","Bacteria","NA","548","TrEMBL"
"2351443","None","None","Clostridia","Glycosyl hydrolase family protein ","3.2.1.179 {ECO:0000313|EMBL:CUO13094.1}","Clostridiaceae","ERS852407_01924","Hungatella","0016798 hydrolase activity  acting on glycosyl bonds","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A174CIX7","GI:944165536|EMBL-CDS:CUO13094.1|REFSEQ:WP_055654538.1","Clostridiales","Hungatella hathewayi.","False","None","None","PF07470","Firmicutes","false","390","BLASTHIT","A0A174CIX7","Hungatella hathewayi","None","Bacteria","NA","154046","TrEMBL"
